data,ano,mes,dia,dia_da_semana,trimestre
2017-10-02,2017,10,2,Monday,4
2018-07-24,2018,7,24,Tuesday,3
2018-08-08,2018,8,8,Wednesday,3
2017-11-18,2017,11,18,Saturday,4
2018-02-13,2018,2,13,Tuesday,1
2017-07-09,2017,7,9,Sunday,3
2017-04-11,2017,4,11,Tuesday,2
2017-05-16,2017,5,16,Tuesday,2
2017-01-23,2017,1,23,Monday,1
2017-07-29,2017,7,29,Saturday,3
2017-07-13,2017,7,13,Thursday,3
2018-06-07,2018,6,7,Thursday,2
2018-07-25,2018,7,25,Wednesday,3
2018-03-01,2018,3,1,Thursday,1
2018-01-02,2018,1,2,Tuesday,1
2017-12-26,2017,12,26,Tuesday,4
2017-11-21,2017,11,21,Tuesday,4
2017-10-26,2017,10,26,Thursday,4
2017-09-18,2017,9,18,Monday,3
2018-03-15,2018,3,15,Thursday,1
2018-02-03,2018,2,3,Saturday,1
2018-01-08,2018,1,8,Monday,1
2018-08-09,2018,8,9,Thursday,3
2018-02-20,2018,2,20,Tuesday,1
2018-06-04,2018,6,4,Monday,2
2018-03-12,2018,3,12,Monday,1
2018-05-02,2018,5,2,Wednesday,2
2018-02-25,2018,2,25,Sunday,1
2017-08-10,2017,8,10,Thursday,3
2018-04-16,2018,4,16,Monday,2
2017-12-12,2017,12,12,Tuesday,4
2018-07-29,2018,7,29,Sunday,3
2018-02-17,2018,2,17,Saturday,1
2018-02-21,2018,2,21,Wednesday,1
2017-07-31,2017,7,31,Monday,3
2018-06-01,2018,6,1,Friday,2
2018-03-26,2018,3,26,Monday,1
2017-05-19,2017,5,19,Friday,2
2017-11-24,2017,11,24,Friday,4
2017-08-04,2017,8,4,Friday,3
2018-08-04,2018,8,4,Saturday,3
2017-05-18,2017,5,18,Thursday,2
2017-05-14,2017,5,14,Sunday,2
2018-05-17,2018,5,17,Thursday,2
2017-08-09,2017,8,9,Wednesday,3
2018-02-01,2018,2,1,Thursday,1
2018-06-26,2018,6,26,Tuesday,2
2018-07-26,2018,7,26,Thursday,3
2017-12-15,2017,12,15,Friday,4
2017-08-31,2017,8,31,Thursday,3
2018-06-11,2018,6,11,Monday,2
2018-03-09,2018,3,9,Friday,1
2017-03-13,2017,3,13,Monday,1
2017-06-13,2017,6,13,Tuesday,2
2017-11-30,2017,11,30,Thursday,4
2018-08-05,2018,8,5,Sunday,3
2017-11-15,2017,11,15,Wednesday,4
2018-02-19,2018,2,19,Monday,1
2018-04-22,2018,4,22,Sunday,2
2018-01-07,2018,1,7,Sunday,1
2018-02-10,2018,2,10,Saturday,1
2018-06-18,2018,6,18,Monday,2
2018-06-13,2018,6,13,Wednesday,2
2018-07-15,2018,7,15,Sunday,3
2017-09-13,2017,9,13,Wednesday,3
2018-04-13,2018,4,13,Friday,2
2018-02-15,2018,2,15,Thursday,1
2017-02-20,2017,2,20,Monday,1
2017-04-20,2017,4,20,Thursday,2
2017-09-15,2017,9,15,Friday,3
2018-07-28,2018,7,28,Saturday,3
2018-08-26,2018,8,26,Sunday,3
2017-07-30,2017,7,30,Sunday,3
2017-12-22,2017,12,22,Friday,4
2017-04-06,2017,4,6,Thursday,2
2017-05-09,2017,5,9,Tuesday,2
2017-10-16,2017,10,16,Monday,4
2017-12-08,2017,12,8,Friday,4
2017-08-26,2017,8,26,Saturday,3
2018-02-27,2018,2,27,Tuesday,1
2018-05-11,2018,5,11,Friday,2
2018-01-22,2018,1,22,Monday,1
2018-05-01,2018,5,1,Tuesday,2
2017-09-19,2017,9,19,Tuesday,3
2018-04-11,2018,4,11,Wednesday,2
2017-12-20,2017,12,20,Wednesday,4
2018-08-03,2018,8,3,Friday,3
2018-05-14,2018,5,14,Monday,2
2017-11-22,2017,11,22,Wednesday,4
2017-03-30,2017,3,30,Thursday,1
2018-06-05,2018,6,5,Tuesday,2
2017-05-17,2017,5,17,Wednesday,2
2018-07-30,2018,7,30,Monday,3
2018-02-06,2018,2,6,Tuesday,1
2017-01-28,2017,1,28,Saturday,1
2018-01-27,2018,1,27,Saturday,1
2017-07-01,2017,7,1,Saturday,3
2017-09-27,2017,9,27,Wednesday,3
2017-11-28,2017,11,28,Tuesday,4
2018-08-22,2018,8,22,Wednesday,3
2018-07-06,2018,7,6,Friday,3
2018-05-09,2018,5,9,Wednesday,2
2017-11-26,2017,11,26,Sunday,4
2017-09-29,2017,9,29,Friday,3
2017-06-27,2017,6,27,Tuesday,2
2018-01-23,2018,1,23,Tuesday,1
2018-08-20,2018,8,20,Monday,3
2018-01-30,2018,1,30,Tuesday,1
2018-03-31,2018,3,31,Saturday,1
2018-03-07,2018,3,7,Wednesday,1
2018-05-08,2018,5,8,Tuesday,2
2018-04-25,2018,4,25,Wednesday,2
2017-07-16,2017,7,16,Sunday,3
2017-09-03,2017,9,3,Sunday,3
2017-10-19,2017,10,19,Thursday,4
2018-07-22,2018,7,22,Sunday,3
2017-12-02,2017,12,2,Saturday,4
2018-01-09,2018,1,9,Tuesday,1
2018-07-18,2018,7,18,Wednesday,3
2017-03-28,2017,3,28,Tuesday,1
2018-06-08,2018,6,8,Friday,2
2017-07-10,2017,7,10,Monday,3
2018-05-16,2018,5,16,Wednesday,2
